Identificador,Provincia,Municipio,Zona,Tipo,Precio,Dimensión,Habitaciones,Lavabos,Planta,Ascensor,Parking,Estado,Calefacción,Agua caliente,Antigüedad,Orientación,Amueblado,Consumo,Emisiones,Vendedor,Imagen
156010798,huesca, Zaidín, Zaidín,Casa o chalet,25000 ,156 ,3 ,,,,,,,,,,,G,G,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
153823547,huesca, Panticosa, Panticosa,Piso,240000 ,100 ,3 ,2 ,,,Privado,,,,,,,G,G,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
153912079,huesca, Sabiñánigo, Las Margas Golf - Latas,Piso,84700 ,127 ,2 ,2 ,,,Privado,,,,,,,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
160128174,huesca, Benasque, Benasque,Piso,164500 ,109 ,2 ,2 ,,SI,Privado,,,,,,Sí,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
160128606,huesca, Benasque, Benasque,Piso,139745 ,93 ,2 ,2 ,,SI,Privado,,,,,,Sí,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
154273422,huesca, Alcubierre, Alcubierre,Casa o chalet,36000 ,150 ,2 ,2 ,,SI,Privado,,,,,,Sí,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
161023307,huesca,Tamarite de Litera,Tamarite De Litera,Piso,120000 ,90 ,3 ,2 ,,SI,Privado,,,,,Norte,Sí,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160186721,huesca,Jaca,Jaca - Poblaciones sur,Casa o chalet,210000 ,99 ,3 ,2 ,,SI,Privado,,Electricidad,Electricidad,,Norte,Sí,G,G,INMOBILIARIA VALLES DEL PIRINEO,SI
160886758,huesca, Aínsa-sobrarbe, Aínsa-sobrarbe,Piso,75000 ,69 ,2 ,2 ,,SI,Privado,Bien,Electricidad,Electricidad,70 a 100 años,Este,Sí,E,E,Ninmo Brarbe,SI
159045970,huesca, Torla, Torla,Casa o chalet,155000 ,88 ,3 ,2 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,Inversiones Venezia,SI
158689184,huesca, Jaca, Universidad,Piso,320000 ,109 ,4 ,2 ,,SI,Comunitario,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Noreste,Sí,G,G,PRIONSA,SI
153208155,huesca,Jaca,Jaca,Piso,77900 ,94 ,3 ,2 ,,SI,Comunitario,Casi nuevo,Gas Natural,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
160653058,huesca, Benasque, Benasque,Piso,132000 ,91 ,3 ,2 ,,SI,Comunitario,Casi nuevo,Gas Natural,Electricidad,Menos de 1 año,Noreste,Sí,G,G,BIDX1 ESPAÑA,SI
157727994,huesca, Canal de Berdún, Canal de Berdún,Casa o chalet,68400 ,70 ,2 ,2 ,,SI,Comunitario,Casi nuevo,Gas Natural,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
138591424,huesca,Barbastro,Barbastro,Piso,56000 ,77 ,2 ,2 ,,SI,Comunitario,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
153475977,huesca, Graus, Graus,Casa o chalet,75000 ,750 ,5 ,2 ,,SI,Comunitario,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
158404003,huesca,Sabiñánigo,Las Margas Golf - Latas,Piso,110000 ,80 ,2 ,2 ,,SI,Privado,Muy bien,Electricidad,Electricidad,10 a 20 años,Sur,Sí,G,G,Housell,SI
161667992,huesca, Sallent de Gállego, Sallent de Gállego,Apartamento,250000 ,60 ,2 ,2 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,Housell,SI
157035957,huesca,Sabiñánigo,Sardas - Puente de Sabiñánigo,Piso,93500 ,67 ,2 ,2 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,OUTLETDEVIVIENDAS,SI
157123922,huesca, Torrente de Cinca, Torrente de Cinca,Casa o chalet,65000 ,298 ,5 ,3 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,ALTAMIRA SANTANDER,SI
160233003,huesca, Fraga, Fraga,Piso,35000 ,109 ,4 ,3 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,ALTAMIRA SANTANDER,SI
161732296,huesca, Huesca Capital, Casco Antiguo,Piso,310000 ,142 ,4 ,3 ,,SI,Privado,Casi nuevo,Gasóleo,Gasóleo,30 a 50 años,Oeste,Sí,G,G,INMOR,SI
161731205,huesca, Huesca Capital, Perpetuo Socorro,Piso,99000 ,122 ,4 ,3 ,,SI,Privado,Bien,Gas Natural,Gas Natural,30 a 50 años,Sur,Sí,G,G,FINCAS VICAM,SI
161579052,huesca, La Sotonera, La Sotonera,Finca rústica,1500000 ,10645591 ,4 ,3 ,,SI,Privado,Bien,Gas Natural,Gas Natural,+ 100 años,Sur,Sí,G,G,GTI ZARAGOZA,SI
158573480,huesca, Villanúa, Villanúa,Apartamento,58500 ,30 ,4 ,3 ,,SI,Privado,Bien,Electricidad,Gas Natural,+ 100 años,Sur,Sí,G,G,INNOVA-LM,SI
161729446,huesca, Nueno, Nueno,Casa o chalet,310000 ,255 ,5 ,2 ,,SI,Privado,Bien,Electricidad,Gas Natural,20 a 30 años,Sur,Sí,G,G,Plenia Inmobiliarios,SI
161729445,huesca, Sariñena, Sariñena,Casa o chalet,114000 ,154 ,4 ,2 ,,,,,,,70 a 100 años,,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
161729438,huesca, Huesca Capital,Casco Antiguo,Piso,100000 ,55 ,2 ,2 ,,SI,Comunitario,,,,70 a 100 años,,Sí,G,G,FINCAS ALCORAZ,SI
158212739,huesca, Alquézar, Alquézar,Apartamento,107000 ,68 ,2 ,2 ,,SI,Comunitario,Bien,,,70 a 100 años,,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
161495037,huesca,Aínsa-sobrarbe,Aínsa-sobrarbe,Finca rústica,675000 ,330 ,2 ,2 ,,SI,Comunitario,Bien,,,70 a 100 años,,Sí,G,G,CROPS CAPITAL,SI
139457572,huesca,Graus,Torres del Obispo,Casa o chalet,188000 ,242 ,2 ,2 ,,SI,Privado,Casi nuevo,,,70 a 100 años,,Sí,G,G,INNOVA-LM,SI
161495200,huesca, Gurrea de Gállego, Gurrea de Gállego,Casa o chalet,73000 ,95 ,3 ,2 ,,SI,Privado,Casi nuevo,Gasóleo,,70 a 100 años,,Sí,G,G,FINCAS VERUS,SI
158815635,huesca, Grañén, Grañén,Finca rústica,11000 ,87 ,4 ,2 ,,SI,Privado,A reformar,Gasóleo,,+ 100 años,,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
158356282,huesca, Jaca, Centro - Llano Samper,Piso,141900 ,101 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,30 a 50 años,,Sí,E,G,Portal Now,SI
158356409,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,72100 ,57 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,10 a 20 años,,Sí,D,G,Portal Now,SI
158356405,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,72100 ,57 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,10 a 20 años,,Sí,E,G,Portal Now,SI
161724744,huesca, Huesca Capital, Perpetuo Socorro,Piso,58000 ,60 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,50 a 70 años,,Sí,G,G,TECNOCASA,SI
161724698,huesca,Grañén,Grañén,Casa o chalet,38000 ,85 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,50 a 70 años,,Sí,G,G,FINCAS VERUS,SI
